STATUS | wrapper  | 2017/10/15 22:08:46 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/10/15 22:08:46 | Launching a JVM...
INFO   | jvm 1    | 2017/10/15 22:08:47 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2017/10/15 22:08:47 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2017/10/15 22:08:47 | 
INFO   | jvm 1    | 2017/10/15 22:08:47 | SLF4J: Class path contains multiple SLF4J bindings.
INFO   | jvm 1    | 2017/10/15 22:08:47 | SLF4J: Found binding in [jar:file:/Users/cform/Sites/JaniseSheng/zj-phone-java/lib/logback-classic-1.1.7.jar!/org/slf4j/impl/StaticLoggerBinder.class]
INFO   | jvm 1    | 2017/10/15 22:08:47 | SLF4J: Found binding in [jar:file:/Users/cform/Sites/JaniseSheng/zj-phone-java/lib/slf4j-log4j12-1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
INFO   | jvm 1    | 2017/10/15 22:08:47 | SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
INFO   | jvm 1    | 2017/10/15 22:08:47 | SLF4J: Actual binding is of type [ch.qos.logback.classic.util.ContextSelectorStaticBinder]
INFO   | jvm 1    | 2017/10/15 22:08:48 | 
INFO   | jvm 1    | 2017/10/15 22:08:48 |   .   ____          _            __ _ _
INFO   | jvm 1    | 2017/10/15 22:08:48 |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
INFO   | jvm 1    | 2017/10/15 22:08:48 | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
INFO   | jvm 1    | 2017/10/15 22:08:48 |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
INFO   | jvm 1    | 2017/10/15 22:08:48 |   '  |____| .__|_| |_|_| |_\__, | / / / /
INFO   | jvm 1    | 2017/10/15 22:08:48 |  =========|_|==============|___/=/_/_/_/
INFO   | jvm 1    | 2017/10/15 22:08:48 |  :: Spring Boot ::        (v1.4.0.RELEASE)
INFO   | jvm 1    | 2017/10/15 22:08:48 | 
